Time,Yaw,Yaw_Target,Yaw_Error,Servo_Cmd,X_Position,Y_Position,Altitude,Velocity_Z,Distance_To_Target
19.500000,173.613667,213.916277,52.302676,15.000000,1449.264709,1057.000032,456.000000,-15.000000,1446.174550
19.600000,161.624980,213.937097,40.323430,-15.000000,1448.347025,1057.329226,454.500000,-15.000000,1445.505065
19.700000,173.621297,213.968242,52.343262,15.000000,1447.698645,1057.440810,453.000000,-15.000000,1444.927705
19.800000,161.634373,213.986283,40.364986,-15.000000,1446.882685,1057.682123,451.500000,-15.000000,1444.452389
19.900000,173.628158,214.012322,52.377948,15.000000,1445.901480,1057.748298,450.000000,-15.000000,1443.910860
20.000000,161.674738,214.036291,40.408132,-14.942264,1445.067649,1058.016149,448.500000,-15.000000,1443.134666
20.100000,173.666943,214.063643,52.388905,15.000000,1444.320291,1058.083710,447.000000,-15.000000,1442.593769
20.200000,161.708316,214.082499,40.415556,-14.955683,1443.531678,1058.337494,445.500000,-15.000000,1442.012565
20.300000,173.699548,214.108419,52.400103,15.000000,1442.655734,1058.447145,444.000000,-15.000000,1441.501776
20.400000,161.785802,214.131562,40.432014,-14.880687,1441.827409,1058.714825,442.500000,-15.000000,1440.838119
20.500000,173.770605,214.158865,52.373063,15.000000,1440.973585,1058.966059,441.000000,-15.000000,1440.302830
20.600000,161.913357,214.186217,40.415612,-14.828380,1440.116008,1059.205974,439.500000,-15.000000,1439.737533
20.700000,173.909415,214.213302,52.299945,15.000000,1439.403380,1059.303291,438.000000,-15.000000,1439.163097
20.800000,161.924211,214.232465,40.323050,-15.000000,1438.666148,1059.556515,436.500000,-15.000000,1438.628589
20.900000,173.920424,214.257329,52.333118,15.000000,1437.799358,1059.698550,435.000000,-15.000000,1438.161661
21.000000,161.906711,214.281455,40.361031,-15.000000,1437.192600,1059.861074,433.500000,-15.000000,1437.525324
21.100000,173.911831,214.300434,52.393723,15.000000,1436.403689,1059.947747,432.000000,-15.000000,1437.115594
21.200000,161.909594,214.321022,40.409191,-15.000000,1435.616696,1060.189457,430.500000,-15.000000,1436.512815
21.300000,173.906426,214.346692,52.437098,15.000000,1434.841736,1060.287142,429.000000,-15.000000,1435.999271
21.400000,162.002687,214.367364,40.460937,-14.887412,1434.021754,1060.540758,427.500000,-15.000000,1435.414641
21.500000,174.016853,214.394206,52.391519,15.000000,1433.049060,1060.601903,426.000000,-15.000000,1434.881122
21.600000,162.032321,214.418174,40.401321,-15.000000,1432.289210,1060.848776,424.500000,-15.000000,1434.113149
21.700000,174.041982,214.443478,52.411157,15.000000,1431.708257,1061.016360,423.000000,-15.000000,1433.626002
21.800000,162.036324,214.462138,40.420156,-15.000000,1430.947799,1061.262941,421.500000,-15.000000,1433.241759
21.900000,174.036433,214.487477,52.451152,15.000000,1429.927020,1061.439949,420.000000,-15.000000,1432.754433
22.000000,162.194714,214.516440,40.480007,-14.809146,1429.206760,1061.660714,418.500000,-15.000000,1432.013465
22.100000,174.199835,214.540055,52.345341,15.000000,1428.429267,1061.749571,417.000000,-15.000000,1431.545213
22.200000,162.201835,214.560637,40.360802,-15.000000,1427.579081,1062.026615,415.500000,-15.000000,1430.955242
22.300000,174.189461,214.589094,52.387259,15.000000,1426.805746,1062.115385,414.000000,-15.000000,1430.412428
22.400000,162.267977,214.609614,40.420154,-14.896537,1426.012141,1062.365955,412.500000,-15.000000,1429.826270
22.500000,174.245973,214.635950,52.367973,15.000000,1425.091543,1062.466724,411.000000,-15.000000,1429.315571
22.600000,162.408512,214.660260,40.414287,-14.800911,1424.253963,1062.747246,409.500000,-15.000000,1428.615523
22.700000,174.397451,214.688629,52.280116,15.000000,1423.536982,1062.834008,408.000000,-15.000000,1428.086291
22.800000,162.398886,214.707869,40.310418,-15.000000,1422.848092,1063.101702,406.500000,-15.000000,1427.546207
22.900000,174.392630,214.732452,52.333566,15.000000,1421.907102,1063.273205,405.000000,-15.000000,1427.132448
23.000000,162.402958,214.759647,40.367018,-14.998350,1421.184742,1063.490562,403.500000,-15.000000,1426.456996
23.100000,174.398811,214.783370,52.380412,15.000000,1420.382164,1063.568348,402.000000,-15.000000,1425.987586
23.200000,162.407811,214.804342,40.405531,-14.987986,1419.544158,1063.775244,400.500000,-15.000000,1425.372887
23.300000,174.402812,214.830408,52.422597,15.000000,1418.679823,1063.919378,399.000000,-15.000000,1424.803034
23.400000,162.503164,214.855029,40.452216,-14.858615,1418.184944,1064.095841,397.500000,-15.000000,1424.176001
23.500000,174.517999,214.872236,52.369072,15.000000,1417.340669,1064.151926,396.000000,-15.000000,1423.870817
23.600000,162.512056,214.893522,40.375522,-15.000000,1416.507232,1064.382462,394.500000,-15.000000,1423.210313
23.700000,174.513652,214.920338,52.408282,15.000000,1415.778975,1064.445279,393.000000,-15.000000,1422.658749
23.800000,162.519235,214.939210,40.425558,-15.000000,1414.949578,1064.663320,391.500000,-15.000000,1422.097652
23.900000,174.525869,214.965559,52.446324,15.000000,1414.180386,1064.727666,390.000000,-15.000000,1421.542769
24.000000,162.529623,214.985460,40.459591,-14.974682,1413.357336,1064.964910,388.500000,-15.000000,1420.949380
24.100000,174.514255,215.012336,52.482713,15.000000,1412.602375,1065.071763,387.000000,-15.000000,1420.411242
24.200000,162.772924,215.033347,40.519092,-14.670785,1411.824919,1065.314398,385.500000,-15.000000,1419.854310
